left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	Annotation	Annotation	
Gyroscope X	Gyroscope X	Gyroscope Y	Gyroscope Y	Gyroscope Z	Gyroscope Z	Low Noise Accelerometer X	Low Noise Accelerometer X	Low Noise Accelerometer Y	Low Noise Accelerometer Y	Low Noise Accelerometer Z	Low Noise Accelerometer Z	Magnetometer X	Magnetometer X	Magnetometer Y	Magnetometer Y	Magnetometer Z	Magnetometer Z	SyncTimestamp	SystemTimestamp	Timestamp	Timestamp	Level	Pulse	
CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	UNCAL	CAL	RAW	no format	no format	
deg/s	No Units	deg/s	No Units	deg/s	No Units	m/s^2	No Units	m/s^2	No Units	m/s^2	No Units	local flux	No Units	local flux	No Units	local flux	No Units	mSecs	mSecs	mSecs	No Units	no unit	no unit	
-0.5954198473282443	-13.0	0.1984732824427481	39.0	1.5572519083969465	-102.0	0.04819277108433735	1283.0	9.204819277108435	2043.0	0.3373493975903615	2019.0	-0.4081818181818182	449.0	-0.015454545454545455	-17.0	-0.23469387755102042	230.0	1.5228925951565625E12	1.522892595169E12	839.84375	27520.0	0.0	0.0	
-0.564885496183206	-9.0	0.13740458015267176	37.0	1.648854961832061	-108.0	0.07228915662650603	1283.0	9.204819277108435	2041.0	0.28915662650602414	2023.0	-0.4127272727272727	454.0	-0.02	-22.0	-0.23775510204081635	233.0	1.5228925951604688E12	1.522892595171E12	843.75	27648.0	0.0	0.0	
-0.48854961832061067	-21.0	0.32061068702290074	32.0	1.5419847328244274	-101.0	0.060240963855421686	1284.0	9.19277108433735	2042.0	0.2530120481927711	2026.0	-0.40545454545454546	446.0	-0.011818181818181818	-13.0	-0.2326530612244898	228.0	1.522892595164375E12	1.522892595211E12	847.65625	27776.0	0.0	0.0	
-0.38167938931297707	-16.0	0.24427480916030533	25.0	1.618320610687023	-106.0	0.060240963855421686	1283.0	9.204819277108435	2042.0	0.24096385542168675	2027.0	-0.40636363636363637	447.0	-0.005454545454545455	-6.0	-0.2306122448979592	226.0	1.5228925951682813E12	1.522892595211E12	851.5625	27904.0	0.0	0.0	
-0.564885496183206	3.0	-0.04580152671755725	37.0	1.3740458015267174	-90.0	0.04819277108433735	1284.0	9.19277108433735	2043.0	0.21686746987951808	2029.0	-0.4118181818181818	453.0	-0.02090909090909091	-23.0	-0.23367346938775513	229.0	1.5228925951721875E12	1.522892595212E12	855.46875	28032.0	0.0	0.0	
-0.4427480916030534	2.0	-0.030534351145038167	29.0	1.5419847328244274	-101.0	0.060240963855421686	1284.0	9.19277108433735	2042.0	0.1927710843373494	2031.0	-0.40454545454545454	445.0	-0.02	-22.0	-0.23877551020408166	234.0	1.5228925951760938E12	1.522892595213E12	859.375	28160.0	0.0	0.0	
-0.5190839694656488	-10.0	0.15267175572519084	34.0	1.4809160305343512	-97.0	0.04819277108433735	1284.0	9.19277108433735	2043.0	0.1927710843373494	2031.0	-0.3990909090909091	439.0	-0.007272727272727273	-8.0	-0.23469387755102042	230.0	1.52289259518E12	1.522892595214E12	863.28125	28288.0	0.0	0.0	
-0.564885496183206	-24.0	0.366412213740458	37.0	1.6030534351145038	-105.0	0.08433734939759037	1285.0	9.180722891566266	2040.0	0.1927710843373494	2031.0	-0.3990909090909091	439.0	-0.007272727272727273	-8.0	-0.23469387755102042	230.0	1.5228925951839063E12	1.522892595215E12	867.1875	28416.0	0.0	0.0	
-0.5343511450381679	-22.0	0.33587786259541985	35.0	1.5725190839694656	-103.0	0.08433734939759037	1285.0	9.180722891566266	2040.0	0.18072289156626506	2032.0	-0.4036363636363636	444.0	0.0018181818181818182	2.0	-0.23469387755102042	230.0	1.5228925951878125E12	1.522892595228E12	871.09375	28544.0	0.0	0.0	
-0.41221374045801523	-31.0	0.47328244274809156	27.0	1.6946564885496183	-111.0	0.0963855421686747	1283.0	9.204819277108435	2039.0	0.1566265060240964	2034.0	-0.40636363636363637	447.0	-0.01818181818181818	-20.0	-0.23469387755102042	230.0	1.5228925951917188E12	1.522892595228E12	875.0	28672.0	0.0	0.0	
