left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	Annotation	Annotation	
Gyroscope X	Gyroscope X	Gyroscope Y	Gyroscope Y	Gyroscope Z	Gyroscope Z	Low Noise Accelerometer X	Low Noise Accelerometer X	Low Noise Accelerometer Y	Low Noise Accelerometer Y	Low Noise Accelerometer Z	Low Noise Accelerometer Z	Magnetometer X	Magnetometer X	Magnetometer Y	Magnetometer Y	Magnetometer Z	Magnetometer Z	SyncTimestamp	SystemTimestamp	Timestamp	Timestamp	Level	Pulse	
CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	UNCAL	CAL	RAW	no format	no format	
deg/s	No Units	deg/s	No Units	deg/s	No Units	m/s^2	No Units	m/s^2	No Units	m/s^2	No Units	local flux	No Units	local flux	No Units	local flux	No Units	mSecs	mSecs	mSecs	No Units	no unit	no unit	
-0.42748091603053434	-29.0	0.4427480916030534	28.0	1.7099236641221374	-112.0	0.0	1286.0	9.168674698795181	2047.0	0.012048192771084338	2046.0	-0.41909090909090907	461.0	-0.004545454545454545	-5.0	-0.22448979591836737	220.0	1.522892504901875E12	1.522892504914E12	582.03125	19072.0	0.0	0.0	
-0.564885496183206	-16.0	0.24427480916030533	37.0	1.7251908396946565	-113.0	0.03614457831325302	1285.0	9.180722891566266	2044.0	0.012048192771084338	2046.0	-0.41909090909090907	461.0	-0.019090909090909092	-21.0	-0.22755102040816327	223.0	1.5228925049057813E12	1.522892504916E12	585.9375	19200.0	0.0	0.0	
-0.5801526717557252	-8.0	0.12213740458015267	38.0	1.6793893129770991	-110.0	0.08433734939759037	1286.0	9.168674698795181	2040.0	0.024096385542168676	2045.0	-0.4090909090909091	450.0	-0.012727272727272728	-14.0	-0.22653061224489798	222.0	1.5228925049096875E12	1.522892504916E12	589.84375	19328.0	0.0	0.0	
-0.47328244274809156	-27.0	0.41221374045801523	31.0	1.648854961832061	-108.0	0.14457831325301207	1284.0	9.19277108433735	2035.0	-0.012048192771084338	2048.0	-0.42363636363636364	466.0	-0.023636363636363636	-26.0	-0.22755102040816327	223.0	1.5228925049135938E12	1.522892504917E12	593.75	19456.0	0.0	0.0	
-0.47328244274809156	-17.0	0.2595419847328244	31.0	1.6030534351145038	-105.0	0.1927710843373494	1284.0	9.19277108433735	2031.0	-0.012048192771084338	2048.0	-0.42363636363636364	466.0	-0.023636363636363636	-26.0	-0.22755102040816327	223.0	1.5228925049175E12	1.522892504934E12	597.65625	19584.0	0.0	0.0	
-0.366412213740458	-13.0	0.1984732824427481	24.0	1.7404580152671756	-114.0	0.18072289156626506	1282.0	9.216867469879519	2032.0	-0.024096385542168676	2049.0	-0.41454545454545455	456.0	-0.024545454545454544	-27.0	-0.22755102040816327	223.0	1.5228925049214063E12	1.522892504934E12	601.5625	19712.0	0.0	0.0	
-0.5190839694656488	-47.0	0.7175572519083969	34.0	1.4351145038167938	-94.0	0.10843373493975904	1285.0	9.180722891566266	2038.0	-0.03614457831325302	2050.0	-0.4209090909090909	463.0	-0.019090909090909092	-21.0	-0.22755102040816327	223.0	1.5228925049253125E12	1.52289250494E12	605.46875	19840.0	0.0	0.0	
-0.41221374045801523	-51.0	0.7786259541984732	27.0	1.465648854961832	-96.0	0.060240963855421686	1283.0	9.204819277108435	2042.0	-0.04819277108433735	2051.0	-0.4218181818181818	464.0	-0.00909090909090909	-10.0	-0.21836734693877552	214.0	1.5228925049292188E12	1.522892504941E12	609.375	19968.0	0.0	0.0	
-0.48854961832061067	-38.0	0.5801526717557252	32.0	1.5877862595419847	-104.0	0.04819277108433735	1283.0	9.204819277108435	2043.0	-0.07228915662650603	2053.0	-0.41545454545454547	457.0	-0.015454545454545455	-17.0	-0.2295918367346939	225.0	1.522892504933125E12	1.522892504941E12	613.28125	20096.0	0.0	0.0	
-0.3969465648854962	-32.0	0.48854961832061067	26.0	1.7862595419847327	-117.0	0.10843373493975904	1282.0	9.216867469879519	2038.0	-0.04819277108433735	2051.0	-0.42	462.0	-0.01090909090909091	-12.0	-0.22448979591836737	220.0	1.5228925049370313E12	1.522892504942E12	617.1875	20224.0	0.0	0.0	
