left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	Annotation	Annotation	
Gyroscope X	Gyroscope X	Gyroscope Y	Gyroscope Y	Gyroscope Z	Gyroscope Z	Low Noise Accelerometer X	Low Noise Accelerometer X	Low Noise Accelerometer Y	Low Noise Accelerometer Y	Low Noise Accelerometer Z	Low Noise Accelerometer Z	Magnetometer X	Magnetometer X	Magnetometer Y	Magnetometer Y	Magnetometer Z	Magnetometer Z	SyncTimestamp	SystemTimestamp	Timestamp	Timestamp	Level	Pulse	
CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	UNCAL	CAL	RAW	no format	no format	
deg/s	No Units	deg/s	No Units	deg/s	No Units	m/s^2	No Units	m/s^2	No Units	m/s^2	No Units	local flux	No Units	local flux	No Units	local flux	No Units	mSecs	mSecs	mSecs	No Units	no unit	no unit	
-0.4580152671755725	-35.0	0.5343511450381679	30.0	1.5267175572519083	-100.0	-0.03614457831325302	1284.0	9.19277108433735	2050.0	-0.012048192771084338	2048.0	-0.4109090909090909	452.0	-0.017272727272727273	-19.0	-0.2295918367346939	225.0	1.5228925265776563E12	1.522892526611E12	257.8125	8448.0	0.0	0.0	
-0.564885496183206	-32.0	0.48854961832061067	37.0	1.5114503816793892	-99.0	-0.060240963855421686	1284.0	9.19277108433735	2052.0	0.0	2047.0	-0.4209090909090909	463.0	-0.023636363636363636	-26.0	-0.22755102040816327	223.0	1.5228925265815625E12	1.522892526612E12	261.71875	8576.0	0.0	0.0	
-0.3511450381679389	-28.0	0.42748091603053434	23.0	1.5419847328244274	-101.0	-0.012048192771084338	1284.0	9.19277108433735	2048.0	0.012048192771084338	2046.0	-0.4172727272727273	459.0	-0.014545454545454545	-16.0	-0.22653061224489798	222.0	1.5228925265854688E12	1.522892526613E12	265.625	8704.0	0.0	0.0	
-0.5190839694656488	-26.0	0.3969465648854962	34.0	1.5725190839694656	-103.0	-0.012048192771084338	1284.0	9.19277108433735	2048.0	0.04819277108433735	2043.0	-0.4118181818181818	453.0	-0.00909090909090909	-10.0	-0.22142857142857145	217.0	1.522892526589375E12	1.522892526614E12	269.53125	8832.0	0.0	0.0	
-0.48854961832061067	-38.0	0.5801526717557252	32.0	1.6335877862595418	-107.0	-0.03614457831325302	1284.0	9.19277108433735	2050.0	0.04819277108433735	2043.0	-0.42	462.0	-0.022727272727272728	-25.0	-0.22755102040816327	223.0	1.5228925265932813E12	1.522892526615E12	273.4375	8960.0	0.0	0.0	
-0.21374045801526717	-23.0	0.3511450381679389	14.0	1.7099236641221374	-112.0	-0.04819277108433735	1285.0	9.180722891566266	2051.0	0.04819277108433735	2043.0	-0.41454545454545455	456.0	-0.025454545454545455	-28.0	-0.2295918367346939	225.0	1.5228925265971875E12	1.522892526616E12	277.34375	9088.0	0.0	0.0	
-0.549618320610687	-19.0	0.2900763358778626	36.0	1.7099236641221374	-112.0	-0.04819277108433735	1285.0	9.180722891566266	2051.0	0.04819277108433735	2043.0	-0.4218181818181818	464.0	-0.013636363636363636	-15.0	-0.22653061224489798	222.0	1.5228925266010938E12	1.522892526617E12	281.25	9216.0	0.0	0.0	
-0.5343511450381679	-14.0	0.21374045801526717	35.0	1.5725190839694656	-103.0	-0.012048192771084338	1284.0	9.19277108433735	2048.0	0.060240963855421686	2042.0	-0.4218181818181818	464.0	-0.013636363636363636	-15.0	-0.22653061224489798	222.0	1.522892526605E12	1.522892526618E12	285.15625	9344.0	0.0	0.0	
-0.3511450381679389	-15.0	0.22900763358778625	23.0	1.4809160305343512	-97.0	0.012048192771084338	1285.0	9.180722891566266	2046.0	0.04819277108433735	2043.0	-0.4254545454545455	468.0	-0.02727272727272727	-30.0	-0.2306122448979592	226.0	1.5228925266089063E12	1.522892526623E12	289.0625	9472.0	0.0	0.0	
-0.22900763358778625	-23.0	0.3511450381679389	15.0	1.5877862595419847	-104.0	0.0	1286.0	9.168674698795181	2047.0	0.060240963855421686	2042.0	-0.4218181818181818	464.0	-0.024545454545454544	-27.0	-0.2306122448979592	226.0	1.5228925266128125E12	1.522892526624E12	292.96875	9600.0	0.0	0.0	
