left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	Annotation	Annotation	
Gyroscope X	Gyroscope X	Gyroscope Y	Gyroscope Y	Gyroscope Z	Gyroscope Z	Low Noise Accelerometer X	Low Noise Accelerometer X	Low Noise Accelerometer Y	Low Noise Accelerometer Y	Low Noise Accelerometer Z	Low Noise Accelerometer Z	Magnetometer X	Magnetometer X	Magnetometer Y	Magnetometer Y	Magnetometer Z	Magnetometer Z	SyncTimestamp	SystemTimestamp	Timestamp	Timestamp	Level	Pulse	
CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	UNCAL	CAL	RAW	no format	no format	
deg/s	No Units	deg/s	No Units	deg/s	No Units	m/s^2	No Units	m/s^2	No Units	m/s^2	No Units	local flux	No Units	local flux	No Units	local flux	No Units	mSecs	mSecs	mSecs	No Units	no unit	no unit	
-0.9007633587786259	-33.0	0.5038167938931297	59.0	1.7251908396946565	-113.0	0.14457831325301207	1284.0	9.19277108433735	2035.0	0.10843373493975904	2038.0	-0.4163636363636364	458.0	-0.024545454545454544	-27.0	-0.22755102040816327	223.0	1.5228926156377188E12	1.522892615644E12	1320.3125	43264.0	0.0	0.0	
-0.8549618320610687	-36.0	0.549618320610687	56.0	1.5725190839694656	-103.0	0.1566265060240964	1284.0	9.19277108433735	2034.0	0.12048192771084337	2037.0	-0.41818181818181815	460.0	-0.012727272727272728	-14.0	-0.2285714285714286	224.0	1.522892615641625E12	1.522892615651E12	1324.21875	43392.0	0.0	0.0	
-0.8396946564885496	-44.0	0.6717557251908397	55.0	1.6946564885496183	-111.0	0.13253012048192772	1283.0	9.204819277108435	2036.0	0.13253012048192772	2036.0	-0.41818181818181815	460.0	-0.012727272727272728	-14.0	-0.2285714285714286	224.0	1.5228926156455313E12	1.522892615652E12	1328.125	43520.0	0.0	0.0	
-0.732824427480916	-31.0	0.47328244274809156	48.0	1.5725190839694656	-103.0	0.13253012048192772	1286.0	9.168674698795181	2036.0	0.10843373493975904	2038.0	-0.41909090909090907	461.0	-0.026363636363636363	-29.0	-0.22551020408163266	221.0	1.5228926156494375E12	1.522892615652E12	1332.03125	43648.0	0.0	0.0	
-0.8091603053435115	-34.0	0.5190839694656488	53.0	1.7404580152671756	-114.0	0.16867469879518074	1286.0	9.168674698795181	2033.0	0.12048192771084337	2037.0	-0.4163636363636364	458.0	-0.019090909090909092	-21.0	-0.2285714285714286	224.0	1.5228926156533438E12	1.522892615665E12	1335.9375	43776.0	0.0	0.0	
-0.9770992366412213	-27.0	0.41221374045801523	64.0	1.5877862595419847	-104.0	0.22891566265060243	1284.0	9.19277108433735	2028.0	0.0963855421686747	2039.0	-0.4172727272727273	459.0	-0.01	-11.0	-0.22551020408163266	221.0	1.52289261565725E12	1.522892615665E12	1339.84375	43904.0	0.0	0.0	
-1.0076335877862594	-41.0	0.6259541984732824	66.0	1.450381679389313	-95.0	0.22891566265060243	1283.0	9.204819277108435	2028.0	0.0963855421686747	2039.0	-0.42	462.0	-0.026363636363636363	-29.0	-0.22755102040816327	223.0	1.5228926156611563E12	1.522892615665E12	1343.75	44032.0	0.0	0.0	
-0.6717557251908397	-30.0	0.4580152671755725	44.0	1.2671755725190839	-83.0	0.21686746987951808	1283.0	9.204819277108435	2029.0	0.0963855421686747	2039.0	-0.4172727272727273	459.0	-0.015454545454545455	-17.0	-0.22653061224489798	222.0	1.5228926156650625E12	1.52289261568E12	1347.65625	44160.0	0.0	0.0	
-0.7480916030534351	-25.0	0.38167938931297707	49.0	1.4351145038167938	-94.0	0.21686746987951808	1286.0	9.168674698795181	2029.0	0.07228915662650603	2041.0	-0.41818181818181815	460.0	-0.01	-11.0	-0.2285714285714286	224.0	1.5228926156689688E12	1.52289261568E12	1351.5625	44288.0	0.0	0.0	
-0.9770992366412213	-28.0	0.42748091603053434	64.0	1.4198473282442747	-93.0	0.21686746987951808	1283.0	9.204819277108435	2029.0	0.060240963855421686	2042.0	-0.41818181818181815	460.0	-0.01	-11.0	-0.2285714285714286	224.0	1.522892615672875E12	1.52289261568E12	1355.46875	44416.0	0.0	0.0	
