left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	Annotation	Annotation	
Gyroscope X	Gyroscope X	Gyroscope Y	Gyroscope Y	Gyroscope Z	Gyroscope Z	Low Noise Accelerometer X	Low Noise Accelerometer X	Low Noise Accelerometer Y	Low Noise Accelerometer Y	Low Noise Accelerometer Z	Low Noise Accelerometer Z	Magnetometer X	Magnetometer X	Magnetometer Y	Magnetometer Y	Magnetometer Z	Magnetometer Z	SyncTimestamp	SystemTimestamp	Timestamp	Timestamp	Level	Pulse	
CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	UNCAL	CAL	RAW	no format	no format	
deg/s	No Units	deg/s	No Units	deg/s	No Units	m/s^2	No Units	m/s^2	No Units	m/s^2	No Units	local flux	No Units	local flux	No Units	local flux	No Units	mSecs	mSecs	mSecs	No Units	no unit	no unit	
-0.3053435114503817	-18.0	0.2748091603053435	20.0	1.4351145038167938	-94.0	0.10843373493975904	1284.0	9.19277108433735	2038.0	-0.13253012048192772	2058.0	-0.4118181818181818	453.0	-0.02181818181818182	-24.0	-0.22346938775510206	219.0	1.5228926615972188E12	1.522892661609E12	1281.25	41984.0	0.0	0.0	
-0.549618320610687	-24.0	0.366412213740458	36.0	1.4351145038167938	-94.0	0.0963855421686747	1284.0	9.19277108433735	2039.0	-0.1566265060240964	2060.0	-0.4118181818181818	453.0	-0.02181818181818182	-24.0	-0.22346938775510206	219.0	1.522892661601125E12	1.52289266161E12	1285.15625	42112.0	0.0	0.0	
-0.4580152671755725	-21.0	0.32061068702290074	30.0	1.282442748091603	-84.0	0.10843373493975904	1286.0	9.168674698795181	2038.0	-0.1566265060240964	2060.0	-0.4218181818181818	464.0	-0.015454545454545455	-17.0	-0.2163265306122449	212.0	1.5228926616050313E12	1.522892661628E12	1289.0625	42240.0	0.0	0.0	
-0.5038167938931297	-28.0	0.42748091603053434	33.0	1.4961832061068703	-98.0	0.12048192771084337	1285.0	9.180722891566266	2037.0	-0.13253012048192772	2058.0	-0.41545454545454547	457.0	-0.007272727272727273	-8.0	-0.21938775510204084	215.0	1.5228926616089375E12	1.522892661629E12	1292.96875	42368.0	0.0	0.0	
-0.5038167938931297	-20.0	0.3053435114503817	33.0	1.450381679389313	-95.0	0.12048192771084337	1284.0	9.19277108433735	2037.0	-0.14457831325301207	2059.0	-0.41454545454545455	456.0	-0.025454545454545455	-28.0	-0.22448979591836737	220.0	1.5228926616128438E12	1.52289266163E12	1296.875	42496.0	0.0	0.0	
-0.7022900763358778	-16.0	0.24427480916030533	46.0	1.3740458015267174	-90.0	0.13253012048192772	1283.0	9.204819277108435	2036.0	-0.13253012048192772	2058.0	-0.4209090909090909	463.0	-0.019090909090909092	-21.0	-0.21530612244897962	211.0	1.52289266161675E12	1.52289266163E12	1300.78125	42624.0	0.0	0.0	
-0.7786259541984732	-27.0	0.41221374045801523	51.0	1.5267175572519083	-100.0	0.13253012048192772	1283.0	9.204819277108435	2036.0	-0.13253012048192772	2058.0	-0.41454545454545455	456.0	-0.01	-11.0	-0.21530612244897962	211.0	1.5228926616206563E12	1.522892661631E12	1304.6875	42752.0	0.0	0.0	
-0.7022900763358778	-27.0	0.41221374045801523	46.0	1.6030534351145038	-105.0	0.13253012048192772	1284.0	9.19277108433735	2036.0	-0.10843373493975904	2056.0	-0.41454545454545455	456.0	-0.022727272727272728	-25.0	-0.21530612244897962	211.0	1.5228926616245625E12	1.522892661632E12	1308.59375	42880.0	0.0	0.0	
-0.7022900763358778	-19.0	0.2900763358778626	46.0	1.5572519083969465	-102.0	0.12048192771084337	1283.0	9.204819277108435	2037.0	-0.08433734939759037	2054.0	-0.41454545454545455	456.0	-0.022727272727272728	-25.0	-0.2163265306122449	212.0	1.5228926616284688E12	1.522892661641E12	1312.5	43008.0	0.0	0.0	
-0.732824427480916	-30.0	0.4580152671755725	48.0	1.450381679389313	-95.0	0.13253012048192772	1285.0	9.180722891566266	2036.0	-0.060240963855421686	2052.0	-0.4209090909090909	463.0	-0.01818181818181818	-20.0	-0.21734693877551023	213.0	1.522892661632375E12	1.522892661642E12	1316.40625	43136.0	0.0	0.0	
