left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	Annotation	Annotation	
Gyroscope X	Gyroscope X	Gyroscope Y	Gyroscope Y	Gyroscope Z	Gyroscope Z	Low Noise Accelerometer X	Low Noise Accelerometer X	Low Noise Accelerometer Y	Low Noise Accelerometer Y	Low Noise Accelerometer Z	Low Noise Accelerometer Z	Magnetometer X	Magnetometer X	Magnetometer Y	Magnetometer Y	Magnetometer Z	Magnetometer Z	SyncTimestamp	SystemTimestamp	Timestamp	Timestamp	Level	Pulse	
CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	UNCAL	CAL	RAW	no format	no format	
deg/s	No Units	deg/s	No Units	deg/s	No Units	m/s^2	No Units	m/s^2	No Units	m/s^2	No Units	local flux	No Units	local flux	No Units	local flux	No Units	mSecs	mSecs	mSecs	No Units	no unit	no unit	
-0.24427480916030533	-27.0	0.41221374045801523	16.0	1.816793893129771	-119.0	0.5783132530120483	1285.0	9.180722891566266	1999.0	0.024096385542168676	2045.0	-0.43727272727272726	481.0	-0.024545454545454544	-27.0	-0.22551020408163266	221.0	1.5228924582786563E12	1.522892458312E12	1957.03125	64128.0	0.0	0.0	
-0.42748091603053434	-14.0	0.21374045801526717	28.0	1.7557251908396947	-115.0	0.5783132530120483	1285.0	9.180722891566266	1999.0	-0.024096385542168676	2049.0	-0.44181818181818183	486.0	-0.026363636363636363	-29.0	-0.21938775510204084	215.0	1.5228924582825625E12	1.522892458315E12	1960.9375	64256.0	0.0	0.0	
-0.47328244274809156	1.0	-0.015267175572519083	31.0	1.6793893129770991	-110.0	0.6024096385542169	1284.0	9.19277108433735	1997.0	-0.024096385542168676	2049.0	-0.44181818181818183	486.0	-0.017272727272727273	-19.0	-0.22244897959183677	218.0	1.5228924582864688E12	1.522892458316E12	1964.84375	64384.0	0.0	0.0	
-0.564885496183206	-22.0	0.33587786259541985	37.0	1.4961832061068703	-98.0	0.5903614457831325	1284.0	9.19277108433735	1998.0	-0.060240963855421686	2052.0	-0.44181818181818183	486.0	-0.017272727272727273	-19.0	-0.22244897959183677	218.0	1.522892458290375E12	1.522892458316E12	1968.75	64512.0	0.0	0.0	
-0.3969465648854962	-25.0	0.38167938931297707	26.0	1.6030534351145038	-105.0	0.6144578313253012	1285.0	9.180722891566266	1996.0	-0.07228915662650603	2053.0	-0.44272727272727275	487.0	-0.022727272727272728	-25.0	-0.2285714285714286	224.0	1.5228924582942813E12	1.522892458317E12	1972.65625	64640.0	0.0	0.0	
-0.5954198473282443	-24.0	0.366412213740458	39.0	1.5419847328244274	-101.0	0.6265060240963856	1286.0	9.168674698795181	1995.0	-0.0963855421686747	2055.0	-0.44636363636363635	491.0	-0.03	-33.0	-0.22244897959183677	218.0	1.5228924582981875E12	1.522892458318E12	1976.5625	64768.0	0.0	0.0	
-0.5190839694656488	-39.0	0.5954198473282443	34.0	1.7251908396946565	-113.0	0.6385542168674699	1285.0	9.180722891566266	1994.0	-0.10843373493975904	2056.0	-0.4445454545454545	489.0	-0.03363636363636364	-37.0	-0.2285714285714286	224.0	1.5228924583020938E12	1.522892458318E12	1980.46875	64896.0	0.0	0.0	
-0.7786259541984732	-18.0	0.2748091603053435	51.0	1.816793893129771	-119.0	0.6506024096385542	1284.0	9.19277108433735	1993.0	-0.08433734939759037	2054.0	-0.4409090909090909	485.0	-0.025454545454545455	-28.0	-0.2295918367346939	225.0	1.522892458306E12	1.522892458319E12	1984.375	65024.0	0.0	0.0	
-0.6259541984732824	-36.0	0.549618320610687	41.0	1.5725190839694656	-103.0	0.674698795180723	1284.0	9.19277108433735	1991.0	-0.10843373493975904	2056.0	-0.44363636363636366	488.0	-0.034545454545454546	-38.0	-0.22551020408163266	221.0	1.5228924583099063E12	1.52289245832E12	1988.28125	65152.0	0.0	0.0	
-0.6870229007633587	-31.0	0.47328244274809156	45.0	1.4198473282442747	-93.0	0.6506024096385542	1286.0	9.168674698795181	1993.0	-0.12048192771084337	2057.0	-0.4445454545454545	489.0	-0.035454545454545454	-39.0	-0.2285714285714286	224.0	1.5228924583138125E12	1.522892458327E12	1992.1875	65280.0	0.0	0.0	
